YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1889   20.9   22.3   20.2   19.6   17.9   14.4   13.8   13.4   16.3   17.7   20.3   20.6    21.6    19.2    13.9    18.1   18.19
1890   20.9   20.9   19.5   18.1   14.2   11.9   12.3   13.3   15.3   17.1   18.6   18.3    20.8    17.3    12.5    17.0   16.89
1891   19.2   20.4   18.5   18.5   16.1   14.7   12.9   13.3   16.2   18.5   19.5   20.6    19.3    17.7    13.6    18.1   17.17
1892   20.0   19.7   19.7   19.3   16.0   13.7   13.2   15.4   15.1   19.0   20.2   20.0    20.1    18.3    14.1    18.1   17.66
1893   19.8   19.9   19.4   18.0   16.2   13.0   12.9   13.0   16.2   18.5   19.4   20.4    19.9    17.9    13.0    18.0   17.19
1894   19.5   20.2   20.3   18.5   16.7   13.4   14.0   14.4   17.0   19.7   20.8   20.3    20.0    18.5    13.9    19.2   17.91
1895   20.0   20.6   20.1   19.3   16.0   13.7   14.3   14.3  999.9  999.9  999.9  999.9    20.3    18.5    14.1   999.9   17.80
1896   21.0   20.5   21.0  999.9  999.9  999.9   13.2   13.7   17.2   19.2   18.7   20.3    20.7   999.9    13.6    18.4   17.79
1897   20.3   19.8   20.7   18.5   16.8   15.1   15.1   14.8   16.5   18.9   21.0   19.9    20.1    18.7    15.0    18.8   18.15
1898   20.0   20.4   19.9   18.6   17.2   14.0   13.7   14.2   17.2   20.2   21.8   20.7    20.1    18.6    14.0    19.7   18.09
1899   21.1   19.8   19.8   19.4   15.8   13.5   13.0   13.0   16.1   19.4   21.2   20.5    20.5    18.3    13.2    18.9   17.73
1900   20.7   20.8   20.7   19.3   16.8   14.7   13.6   15.2   17.5   19.8   21.8   21.2    20.7    18.9    14.5    19.7   18.45
1901   21.7   20.8   20.9   19.0   16.9   15.1   14.4   14.0   16.2   18.3   21.5   19.5    21.2    18.9    14.5    18.7   18.33
1902   21.0   20.1   19.2   19.2   16.7   14.2   14.2   15.8   17.8   19.0   20.7   20.2    20.2    18.4    14.7    19.2   18.12
1903   20.2   19.8   20.1   19.0   17.2   15.3   13.4   14.3   14.7   17.8   19.9   19.9    20.1    18.8    14.3    17.5   17.66
1904   19.4   19.7   19.6   18.1   16.8   13.9   12.9   14.3   15.0   19.4   21.3   20.5    19.7    18.2    13.7    18.6   17.52
1905   20.4   19.9   19.3   17.6   17.0   15.7   13.4   14.6   18.3   19.6   19.6   19.9    20.3    18.0    14.6    19.2   17.99
1906   21.3   20.3   20.6   19.0   16.5   14.2   13.4   13.7   15.7   18.2   19.8   19.9    20.5    18.7    13.8    17.9   17.72
1907   20.1   20.0   19.1   18.5   16.5   14.4   12.3   14.1   16.4   20.2   20.3   19.4    20.0    18.0    13.6    19.0   17.65
1908   20.4   19.7   20.2   18.7   15.7   15.0   13.5   14.8   17.1   20.2   20.9   19.7    19.8    18.2    14.4    19.4   17.97
1909   19.8   19.9   19.6   18.5   15.8   13.1   14.4   14.1   17.1   17.8   20.5   21.4    19.8    18.0    13.9    18.5   17.52
1910   20.3   20.1   19.6   18.9   15.9   13.4   13.2   14.3   16.5   19.3   18.6   19.2    20.6    18.1    13.6    18.1   17.62
1911   19.9   19.2   19.2   17.2   15.7   13.8   13.8   14.1   16.4   19.3   19.9   21.2    19.4    17.4    13.9    18.5   17.31
1912   20.8   19.6   20.6   19.0   17.1   14.6   13.6   14.7   17.7   19.4   21.4   20.2    20.5    18.9    14.3    19.5   18.31
1913   19.5   19.6   20.4   17.6   17.4   14.0   13.0   15.1   16.7   20.0   20.0   19.6    19.8    18.5    14.0    18.9   17.79
1914   19.7   20.6   19.8   18.9   16.6   15.0   13.3   14.7   16.9   19.0   19.4   21.1    20.0    18.4    14.3    18.4   17.79
1915   20.4   20.3   19.9   19.4   16.8   14.2   14.3   13.5   15.9   20.1   20.3   20.1    20.6    18.7    14.0    18.8   18.02
1916   20.3   19.7   20.0   18.8   16.1   14.1   12.1   14.4   16.1   18.9   18.9   18.6    20.0    18.3    13.5    18.0   17.46
1917   19.4   18.6   19.0   18.2   17.2   14.7   14.2   14.2   15.7   16.9   19.6   18.8    18.9    18.1    14.4    17.4   17.19
1918   20.4   19.4   19.4   17.8   16.0   14.6   13.1   13.7   16.2   19.4   20.1   20.3    19.5    17.7    13.8    18.6   17.41
