"","Year","Month","Temperature"
"1",1889,"JAN",20.9
"2",1890,"JAN",20.9
"3",1891,"JAN",19.2
"4",1892,"JAN",20
"5",1893,"JAN",19.8
"6",1894,"JAN",19.5
"7",1895,"JAN",20
"8",1896,"JAN",21
"9",1897,"JAN",20.3
"10",1898,"JAN",20
"11",1899,"JAN",21.1
"12",1900,"JAN",20.7
"13",1901,"JAN",21.7
"14",1902,"JAN",21
"15",1903,"JAN",20.2
"16",1904,"JAN",19.4
"17",1905,"JAN",20.4
"18",1906,"JAN",21.3
"19",1907,"JAN",20.1
"20",1908,"JAN",20.4
"21",1909,"JAN",19.8
"22",1910,"JAN",20.3
"23",1911,"JAN",19.9
"24",1912,"JAN",20.8
"25",1913,"JAN",19.5
"26",1914,"JAN",19.7
"27",1915,"JAN",20.4
"28",1916,"JAN",20.3
"29",1917,"JAN",19.4
"30",1918,"JAN",20.4
"31",1919,"JAN",20.3
"32",1920,"JAN",20
"33",1921,"JAN",19.7
"34",1922,"JAN",19.2
"35",1923,"JAN",20.7
"36",1924,"JAN",20.3
"37",1925,"JAN",19.9
"38",1926,"JAN",21.1
"39",1927,"JAN",20.2
"40",1928,"JAN",21.4
"41",1929,"JAN",20.8
"42",1930,"JAN",19.4
"44",1932,"JAN",20.3
"45",1933,"JAN",20.1
"46",1934,"JAN",19.7
"47",1935,"JAN",19.9
"48",1936,"JAN",19.8
"49",1937,"JAN",19.7
"50",1938,"JAN",20.4
"51",1939,"JAN",20.4
"53",1941,"JAN",19.5
"54",1942,"JAN",21
"55",1943,"JAN",20.3
"56",1944,"JAN",20.4
"57",1945,"JAN",21.1
"58",1946,"JAN",20.4
"59",1947,"JAN",20.9
"60",1948,"JAN",20.5
"61",1949,"JAN",20.9
"62",1950,"JAN",20.9
"64",1952,"JAN",20.1
"65",1953,"JAN",20.1
"66",1954,"JAN",20.2
"67",1955,"JAN",20.8
"68",1956,"JAN",19.8
"69",1957,"JAN",21.2
"70",1958,"JAN",20.8
"71",1959,"JAN",20.6
"72",1960,"JAN",21
"73",1961,"JAN",20.8
"74",1962,"JAN",21.3
"75",1963,"JAN",20.5
"76",1964,"JAN",20.7
"77",1965,"JAN",19.6
"78",1966,"JAN",20.5
"79",1967,"JAN",20.9
"80",1968,"JAN",20
"82",1970,"JAN",21.3
"83",1971,"JAN",19.9
"84",1972,"JAN",20.4
"85",1973,"JAN",20.6
"86",1974,"JAN",19.8
"87",1975,"JAN",20.6
"88",1976,"JAN",19.5
"89",1977,"JAN",20.7
"90",1978,"JAN",21.7
"91",1979,"JAN",20.7
"92",1980,"JAN",20.8
"93",1981,"JAN",21.1
"94",1982,"JAN",20.4
"95",1983,"JAN",20.7
"96",1984,"JAN",20.7
"97",1985,"JAN",21
"98",1986,"JAN",20.8
"99",1987,"JAN",20.8
"100",1988,"JAN",21.3
"101",1989,"JAN",20.6
"102",1990,"JAN",20.8
"103",1991,"JAN",21.4
"104",1992,"JAN",21
"107",1995,"JAN",20.6
"108",1996,"JAN",20.6
"109",1997,"JAN",20.2
"111",1999,"JAN",20.7
"112",2000,"JAN",21.2
"113",2001,"JAN",21.3
"115",2003,"JAN",20.8
"117",2005,"JAN",21.7
"124",2012,"JAN",20.6
"125",2013,"JAN",21.3
"126",2014,"JAN",21
"128",2016,"JAN",21.6
"129",2017,"JAN",21.4
"130",1889,"FEB",22.3
"131",1890,"FEB",20.9
"132",1891,"FEB",20.4
"133",1892,"FEB",19.7
"134",1893,"FEB",19.9
"135",1894,"FEB",20.2
"136",1895,"FEB",20.6
"137",1896,"FEB",20.5
"138",1897,"FEB",19.8
"139",1898,"FEB",20.4
"140",1899,"FEB",19.8
"141",1900,"FEB",20.8
"142",1901,"FEB",20.8
"143",1902,"FEB",20.1
"144",1903,"FEB",19.8
"145",1904,"FEB",19.7
"146",1905,"FEB",19.9
"147",1906,"FEB",20.3
"148",1907,"FEB",20
"149",1908,"FEB",19.7
"150",1909,"FEB",19.9
"151",1910,"FEB",20.1
"152",1911,"FEB",19.2
"153",1912,"FEB",19.6
"154",1913,"FEB",19.6
"155",1914,"FEB",20.6
"156",1915,"FEB",20.3
"157",1916,"FEB",19.7
"158",1917,"FEB",18.6
"159",1918,"FEB",19.4
"160",1919,"FEB",20.2
"161",1920,"FEB",19.7
"162",1921,"FEB",19.7
"163",1922,"FEB",19.6
"164",1923,"FEB",20.2
"165",1924,"FEB",19.9
"166",1925,"FEB",19.9
"167",1926,"FEB",20.7
"168",1927,"FEB",20.3
"169",1928,"FEB",20.4
"170",1929,"FEB",18.8
"171",1930,"FEB",20.5
"173",1932,"FEB",19.6
"174",1933,"FEB",19.3
"175",1934,"FEB",19.7
"176",1935,"FEB",19.6
"177",1936,"FEB",20.9
"178",1937,"FEB",20.1
"179",1938,"FEB",20.1
"180",1939,"FEB",20.4
"182",1941,"FEB",20.8
"183",1942,"FEB",21.2
"184",1943,"FEB",20
"185",1944,"FEB",20.9
"186",1945,"FEB",19.8
"187",1946,"FEB",20.9
"188",1947,"FEB",21
"189",1948,"FEB",20.5
"190",1949,"FEB",20.7
"193",1952,"FEB",20.7
"194",1953,"FEB",20.1
"195",1954,"FEB",21
"196",1955,"FEB",20.8
"197",1956,"FEB",19.4
"198",1957,"FEB",20
"199",1958,"FEB",21
"200",1959,"FEB",20.7
"201",1960,"FEB",20.4
"202",1961,"FEB",21.5
"203",1962,"FEB",20.9
"204",1963,"FEB",20.6
"205",1964,"FEB",21.5
"206",1965,"FEB",20.3
"207",1966,"FEB",20.5
"208",1967,"FEB",21
"209",1968,"FEB",20.3
"212",1971,"FEB",20.6
"213",1972,"FEB",20
"214",1973,"FEB",20.7
"215",1974,"FEB",19.7
"216",1975,"FEB",20.1
"217",1976,"FEB",20.2
"218",1977,"FEB",20.2
"219",1978,"FEB",21.6
"220",1979,"FEB",20.3
"221",1980,"FEB",21.1
"222",1981,"FEB",21
"223",1982,"FEB",20.9
"224",1983,"FEB",21.8
"225",1984,"FEB",20.7
"226",1985,"FEB",20.7
"227",1986,"FEB",20.9
"228",1987,"FEB",21.3
"229",1988,"FEB",20.7
"230",1989,"FEB",20.3
"231",1990,"FEB",21.1
"232",1991,"FEB",20.9
"237",1996,"FEB",20.3
"238",1997,"FEB",20.5
"239",1998,"FEB",22
"240",1999,"FEB",21.5
"241",2000,"FEB",20.3
"244",2003,"FEB",21.1
"245",2004,"FEB",21
"253",2012,"FEB",21.2
"255",2014,"FEB",21.3
"256",2015,"FEB",20.7
"257",2016,"FEB",21.8
"258",2017,"FEB",21.9
"259",1889,"MAR",20.2
"260",1890,"MAR",19.5
"261",1891,"MAR",18.5
"262",1892,"MAR",19.7
"263",1893,"MAR",19.4
"264",1894,"MAR",20.3
"265",1895,"MAR",20.1
"266",1896,"MAR",21
"267",1897,"MAR",20.7
"268",1898,"MAR",19.9
"269",1899,"MAR",19.8
"270",1900,"MAR",20.7
"271",1901,"MAR",20.9
"272",1902,"MAR",19.2
"273",1903,"MAR",20.1
"274",1904,"MAR",19.6
"275",1905,"MAR",19.3
"276",1906,"MAR",20.6
"277",1907,"MAR",19.1
"278",1908,"MAR",20.2
"279",1909,"MAR",19.6
"280",1910,"MAR",19.6
"281",1911,"MAR",19.2
"282",1912,"MAR",20.6
"283",1913,"MAR",20.4
"284",1914,"MAR",19.8
"285",1915,"MAR",19.9
"286",1916,"MAR",20
"287",1917,"MAR",19
"288",1918,"MAR",19.4
"289",1919,"MAR",20
"290",1920,"MAR",19.5
"291",1921,"MAR",19
"292",1922,"MAR",19.6
"293",1923,"MAR",20.3
"294",1924,"MAR",20.5
"295",1925,"MAR",19.4
"296",1926,"MAR",21.1
"297",1927,"MAR",19.4
"298",1928,"MAR",20.3
"299",1929,"MAR",20.8
"300",1930,"MAR",19.6
"302",1932,"MAR",19.9
"303",1933,"MAR",19
"304",1934,"MAR",20
"305",1935,"MAR",20.1
"306",1936,"MAR",20.2
"307",1937,"MAR",19.3
"308",1938,"MAR",20.2
"309",1939,"MAR",19.7
"311",1941,"MAR",20.9
"312",1942,"MAR",21.1
"313",1943,"MAR",20
"314",1944,"MAR",20
"315",1945,"MAR",20.5
"316",1946,"MAR",19.8
"317",1947,"MAR",19.4
"318",1948,"MAR",20.2
"319",1949,"MAR",20.1
"322",1952,"MAR",20.7
"323",1953,"MAR",20.4
"324",1954,"MAR",20.1
"325",1955,"MAR",20.1
"326",1956,"MAR",20
"327",1957,"MAR",20
"328",1958,"MAR",21
"329",1959,"MAR",20.1
"330",1960,"MAR",19.3
"331",1961,"MAR",20.7
"332",1962,"MAR",20.3
"333",1963,"MAR",20.1
"334",1964,"MAR",20.3
"335",1965,"MAR",19.1
"336",1966,"MAR",19.4
"337",1967,"MAR",21
"338",1968,"MAR",20.1
"340",1970,"MAR",21.5
"341",1971,"MAR",19.9
"342",1972,"MAR",19.3
"343",1973,"MAR",20.6
"344",1974,"MAR",19.2
"345",1975,"MAR",20
"346",1976,"MAR",19.8
"347",1977,"MAR",20.5
"348",1978,"MAR",19.6
"349",1979,"MAR",20.4
"350",1980,"MAR",20.8
"351",1981,"MAR",20.7
