"","Year","Month","Temperature"
"1549",1889,"D.J.F",21.6
"1550",1890,"D.J.F",20.8
"1551",1891,"D.J.F",19.3
"1552",1892,"D.J.F",20.1
"1553",1893,"D.J.F",19.9
"1554",1894,"D.J.F",20
"1555",1895,"D.J.F",20.3
"1556",1896,"D.J.F",20.7
"1557",1897,"D.J.F",20.1
"1558",1898,"D.J.F",20.1
"1559",1899,"D.J.F",20.5
"1560",1900,"D.J.F",20.7
"1561",1901,"D.J.F",21.2
"1562",1902,"D.J.F",20.2
"1563",1903,"D.J.F",20.1
"1564",1904,"D.J.F",19.7
"1565",1905,"D.J.F",20.3
"1566",1906,"D.J.F",20.5
"1567",1907,"D.J.F",20
"1568",1908,"D.J.F",19.8
"1569",1909,"D.J.F",19.8
"1570",1910,"D.J.F",20.6
"1571",1911,"D.J.F",19.4
"1572",1912,"D.J.F",20.5
"1573",1913,"D.J.F",19.8
"1574",1914,"D.J.F",20
"1575",1915,"D.J.F",20.6
"1576",1916,"D.J.F",20
"1577",1917,"D.J.F",18.9
"1578",1918,"D.J.F",19.5
"1579",1919,"D.J.F",20.3
"1580",1920,"D.J.F",20.1
"1581",1921,"D.J.F",19.6
"1582",1922,"D.J.F",19.4
"1583",1923,"D.J.F",20.5
"1584",1924,"D.J.F",20.2
"1585",1925,"D.J.F",19.8
"1586",1926,"D.J.F",20.7
"1587",1927,"D.J.F",20.4
"1588",1928,"D.J.F",20.9
"1589",1929,"D.J.F",19.9
"1590",1930,"D.J.F",19.9
"1592",1932,"D.J.F",19.9
"1593",1933,"D.J.F",19.7
"1594",1934,"D.J.F",19.8
"1595",1935,"D.J.F",19.6
"1596",1936,"D.J.F",20.1
"1597",1937,"D.J.F",19.8
"1598",1938,"D.J.F",20.3
"1599",1939,"D.J.F",20.5
"1601",1941,"D.J.F",20.1
"1602",1942,"D.J.F",21.1
"1603",1943,"D.J.F",20.3
"1604",1944,"D.J.F",20.6
"1605",1945,"D.J.F",20.3
"1606",1946,"D.J.F",20.4
"1607",1947,"D.J.F",20.8
"1608",1948,"D.J.F",20.6
"1609",1949,"D.J.F",20.4
"1610",1950,"D.J.F",20.9
"1612",1952,"D.J.F",20.3
"1613",1953,"D.J.F",20
"1614",1954,"D.J.F",20.6
"1615",1955,"D.J.F",20.7
"1616",1956,"D.J.F",19.8
"1617",1957,"D.J.F",20.6
"1618",1958,"D.J.F",20.8
"1619",1959,"D.J.F",20.6
"1620",1960,"D.J.F",20.8
"1621",1961,"D.J.F",20.6
"1622",1962,"D.J.F",20.9
"1623",1963,"D.J.F",20.6
"1624",1964,"D.J.F",20.8
"1625",1965,"D.J.F",19.9
"1626",1966,"D.J.F",20.4
"1627",1967,"D.J.F",20.8
"1628",1968,"D.J.F",20.1
"1630",1970,"D.J.F",21.6
"1631",1971,"D.J.F",20.4
"1632",1972,"D.J.F",20.2
"1633",1973,"D.J.F",20.7
"1634",1974,"D.J.F",19.8
"1635",1975,"D.J.F",20.3
"1636",1976,"D.J.F",19.8
"1637",1977,"D.J.F",20.4
"1638",1978,"D.J.F",21.4
"1639",1979,"D.J.F",20.4
"1640",1980,"D.J.F",20.9
"1641",1981,"D.J.F",20.8
"1642",1982,"D.J.F",20.7
"1643",1983,"D.J.F",20.9
"1644",1984,"D.J.F",20.6
"1645",1985,"D.J.F",20.8
"1646",1986,"D.J.F",20.7
"1647",1987,"D.J.F",20.9
"1648",1988,"D.J.F",21.3
"1649",1989,"D.J.F",20.4
"1650",1990,"D.J.F",20.7
"1651",1991,"D.J.F",20.7
"1655",1995,"D.J.F",20.8
"1656",1996,"D.J.F",20.6
"1657",1997,"D.J.F",20.4
"1658",1998,"D.J.F",21.7
"1659",1999,"D.J.F",21
"1660",2000,"D.J.F",20.7
"1661",2001,"D.J.F",21.1
"1663",2003,"D.J.F",21
"1664",2004,"D.J.F",20.9
"1672",2012,"D.J.F",21.2
"1673",2013,"D.J.F",21.4
"1674",2014,"D.J.F",21.3
"1676",2016,"D.J.F",21.8
"1677",2017,"D.J.F",21.6
"1678",1889,"M.A.M",19.2
"1679",1890,"M.A.M",17.3
"1680",1891,"M.A.M",17.7
"1681",1892,"M.A.M",18.3
"1682",1893,"M.A.M",17.9
"1683",1894,"M.A.M",18.5
"1684",1895,"M.A.M",18.5
"1686",1897,"M.A.M",18.7
"1687",1898,"M.A.M",18.6
"1688",1899,"M.A.M",18.3
"1689",1900,"M.A.M",18.9
"1690",1901,"M.A.M",18.9
"1691",1902,"M.A.M",18.4
"1692",1903,"M.A.M",18.8
"1693",1904,"M.A.M",18.2
"1694",1905,"M.A.M",18
"1695",1906,"M.A.M",18.7
"1696",1907,"M.A.M",18
"1697",1908,"M.A.M",18.2
"1698",1909,"M.A.M",18
"1699",1910,"M.A.M",18.1
"1700",1911,"M.A.M",17.4
"1701",1912,"M.A.M",18.9
"1702",1913,"M.A.M",18.5
"1703",1914,"M.A.M",18.4
