"Countries","Males2007","Males2011","Females2007","Females2011","MaleWHO2007","MaleWHO2011","FemaleWHO2007","FemaleWHO2011","WHO2007","WHO2011","None2007","Primary2007","LowerSecondary2007","PostSecondary2007","UpperSecondary2007","TertiaryFirst2007","TertiraryAdv2007","NA2007","None2011","Primary2011","LowerSecondary2011","PostSecondary2011","UpperSecondary2011","TertiaryFirst2011","TertiraryAdv2011","NA2011","18to24_2007","25o34_2007","35to49_2007","50to64_2007","64+in2007","18to24_2011","25o34_2011","35to49_2011","50to64_2011","64+in2011","NA"
"Austria",472,430,571,602,56.5916668025688,58.6808696265808,60.6604188021672,72.9393269305881,66.3307392996109,66.3307392996109,0,25,263,431,216,93,15,0,0,17,118,586,144,138,29,0,71,173,305,270,213,71,173,305,270,213,1
"Belgium",468,480,542,533,65.703686854738,65.2126691138908,65.180691590989,64.4226422003498,64.9337289812067,64.9337289812067,24,124,124,424,0,308,6,0,22,116,197,381,0,272,15,5,92,138,240,297,246,92,138,240,297,246,2
"Bulgaria",442,397,588,603,47.3728538614009,51.4106538636508,52.6260428913047,63.4510874264809,60.5450733752621,60.5450733752621,13,29,225,485,87,184,7,0,0,29,203,515,61,182,3,2,57,124,205,275,339,57,124,205,275,339,3
"Cyprus",433,373,570,633,53.5647480784237,49.0559006332494,54.683977367934,68.3318205303919,59.0508474576271,59.0508474576271,0,305,83,368,80,78,11,0,0,233,163,320,0,287,2,1,84,130,259,302,231,84,130,259,302,231,4
"Czech Republic",465,485,762,527,48.4794114338868,61.5212070459196,68.7752429202187,61.2377380613463,62.04995004995,62.04995004995,0,1,117,958,0,136,14,0,2,8,289,576,26,107,4,0,102,179,273,257,201,102,179,273,257,201,5
"Germany",917,1349,1091,1706,64.2363423462988,60.0047841160474,68.8451606642944,70.2794725978291,65.8487949818422,65.8487949818422,11,75,876,450,142,423,20,0,0,82,961,1186,277,502,22,21,241,398,675,745,996,241,398,675,745,996,6
"Denmark",449,475,555,549,63.1694578232678,69.5562748649902,71.7505393496245,72.7295711999917,71.3927522037218,71.3927522037218,6,31,228,374,108,250,7,0,0,62,122,341,129,362,7,1,56,110,266,312,280,56,110,266,312,280,7
"Estonia",405,355,618,647,49.6314022837524,44.4836348554684,59.9884947755951,63.9865959073846,57.0721649484536,57.0721649484536,1,43,217,302,193,208,7,0,0,52,290,201,232,219,7,1,78,127,203,242,352,78,127,203,242,352,8
"Greece",436,431,564,573,55.4912877981648,51.5561551459665,61.5572531492216,62.9778131950258,57.4850299401198,57.4850299401198,89,268,91,337,64,150,1,0,0,272,152,336,0,233,4,1,80,165,280,207,272,80,165,280,207,272,9
"Spain",499,655,516,857,66.8666866082318,58.8929360142248,61.0935160841987,69.9237240234372,64.9314703925482,64.9314703925482,163,203,201,139,139,147,4,0,195,218,264,270,272,257,29,4,124,243,440,319,386,124,243,440,319,386,10
