"Countries","Males2007","Females2007","Males2011","Females2011","a18to24_2007","a25to34_2007","a35to49_2007","a50to64_2007","a64_2007","a18to24_2011","a25to34_2011","a35to49_2011","a50to64_2011","a64_2011","None2007","Primary2007","Secondary2007","Tertiary2007","None2011","Primary2011","Secondary2011","Tertiary2011","Who2007","Who2011","MaleWHO2007","FemaleWHO2007","MaleWHO2011","FemaleWHO2011","a18to24WHO_2007","a25to34WHO_2007","a35to49WHO_2007","a50to64WHO_2007","a64WHO_2007","a18to24WHO_2011","a25to34WHO_2011","a35to49WHO_2011","a50to64WHO_2011","a64WHO_2011","Social_contact2011","Deprivation2007","Deprivation2011","Social_exclusion2007","Social_exclusion2011"
"Austria",472,571,430,602,97,212,350,230,154,71,173,305,270,213,0,25,910,108,0,17,848,167,60.0470588235294,66.3307392996109,58.0317436197703,62.1059695755711,59.075964277202,73.1057723171821,56.3456729495538,77.2218609706208,66.0272303565178,54.382071089826,43.8149189146897,52.0757113858195,63.8653572242668,67.85510456784,72.9858843764446,65.1336415884012,13.5518867924528,0.604417670682731,0.425851703406814,2.19628309572301,1.86230079681275
"Belgium",468,542,480,533,78,132,317,262,221,92,138,240,297,246,24,124,548,314,22,116,578,287,65.4985133795837,64.9337289812067,65.703686854738,65.2976743033599,65.296866382253,64.5450993931774,47.9884886963745,50.4163744872439,71.733001571686,73.3451340984835,69.1514513923763,50.3478672589439,56.2079593055355,56.9620759025094,78.8988310776434,73.5231832875174,12.8194444444444,0.673366834170854,0.81619937694704,2.34305273833671,2.32971745711403
"Bulgaria",442,588,397,603,83,152,236,305,254,57,124,205,275,339,13,29,797,191,0,29,779,185,54.5047518479409,60.5450733752621,52.3672706801151,56.6975767542342,53.5002255034505,66.3542627594617,51.9282528261336,53.3757460609899,53.2438853762715,63.9713353609478,47.7897500120668,43.1164840118713,49.3487659053359,53.2068522728289,70.7600021786771,74.001005374051,13.9485924112607,3.10035842293907,3.1568848758465,2.8712899543379,2.75874316939891
"Cyprus",433,570,373,633,76,129,223,322,253,84,130,259,302,231,0,305,531,89,0,233,483,289,55.1350253807107,59.0508474576271,53.9045553145336,56.123281934313,49.1413263588209,68.5430889269532,36.8063622426162,41.1817926559136,45.4167122246532,79.551312777628,71.7589809465351,38.1949997310654,39.8534043408128,60.9843595040168,81.7692105001469,68.0654582814644,16.6038798498123,1.57507987220447,2.15470171890799,2.19321851453175,2.96032157676349
"Czech Republic",465,762,485,527,108,190,332,399,198,102,179,273,257,201,0,1,1075,150,2,8,891,111,60.6566164154104,62.04995004995,49.3768368793272,70.7246111259323,62.3779527451588,61.7143497002478,47.0550713925922,52.3830255823375,61.7103077553391,79.0159299991443,51.5687248364701,60.2675579805105,63.0535632803092,64.2140827489266,63.891736435947,57.0793335879601,13.4963910761155,1.2401372212693,1.50326086956522,2.23494486853265,2.46910695742471
"Germany",917,1091,1349,1706,177,254,595,453,529,241,398,675,745,996,11,75,1468,443,0,82,2424,524,66.9804707060591,65.8487949818422,64.4562116041202,69.4298522268984,60.593529805767,70.7272337811943,60.0615870556512,56.9028156535226,65.6328010777059,66.8826821146823,78.2348831024291,54.5027493282753,59.7028568740712,53.2847553010261,68.0326861575989,85.1509120139025,13.4931838170624,0.84183410613086,0.731849315068493,1.85031104199067,1.82782033426184
"Denmark",449,555,475,549,62,121,257,289,275,56,110,266,312,280,6,31,710,257,0,62,592,369,68.0200601805416,71.3927522037218,63.3482041387521,71.9983883648723,70.0800469645373,72.7822441525697,38.8095453767726,46.0418779024244,59.496562637506,76.9199721815156,100.785764777974,33.9417943677808,50.2653752917628,64.9131618132506,87.726322183581,92.699423483356,11.8845693779904,0.337728194726166,0.348439073514602,1.8349539406346,1.55243161094225
"Estonia",405,618,355,647,106,129,202,253,333,78,127,203,242,352,1,43,712,215,0,52,723,226,56.628,57.0721649484536,50.3857450662294,61.3948870543725,45.8462808093241,65.645466655616,47.6459644950935,44.0091678281756,44.4518925648109,62.2187415935081,82.0305129387232,39.8992945581311,42.4806218102132,49.1968094113262,59.8103585864156,84.561660360555,14.2315051020408,1.48497854077253,2.74305555555556,2.20551508844953,2.3981288981289
"Greece",436,564,431,573,100,189,260,187,264,80,165,280,207,272,89,268,492,151,0,272,488,237,58.6546546546547,57.4850299401198,55.4912877981648,61.6067818297144,51.6941234467507,63.0974870426043,52.7092361800651,62.7484954903386,58.4029672925549,50.4400402210191,67.2579254486345,61.4003613422269,55.1987251750867,62.907645431951,53.5293230245075,55.3735866889729,15.752380952381,1.69826707441386,2.45089757127772,2.25531376518219,2.53060699588477
"Spain",499,516,655,857,103,183,275,194,260,124,243,440,319,386,163,203,479,151,195,218,806,286,64.6819541375872,64.9314703925482,67.543604955775,62.2056986153538,58.8929360142248,70.6011784704086,75.5414302368893,60.141743153751,61.6033927649471,61.0478828703853,72.5714000897174,58.8727303709764,63.0654467153885,62.9827111978375,64.2753055778199,72.5182134613452,15.0237642585551,0.673340358271865,1.2634898388227,1.75435450819672,1.9580525606469
